Utility,Year,Month,Assistance Amount
PAC,2022,8,0.0
PAC,2022,9,0.0
PAC,2022,10,0.0
PAC,2022,11,0.0
PAC,2022,12,0.0
PAC,2023,1,0.0
PAC,2023,2,0.0
PAC,2023,3,0.0
PAC,2023,4,0.0
PAC,2023,5,0.0
PAC,2023,6,0.0
PAC,2023,7,0.0
PAC,2023,8,0.0
PAC,2023,9,0.0
PAC,2023,10,0.0
PAC,2023,11,0.0
PAC,2023,12,0.0
PAC,2024,1,0.0
PAC,2024,2,0.0
PAC,2024,3,0.0
PAC,2024,4,0.0
PAC,2024,5,0.0
PAC,2024,6,0.0
PAC,2024,7,0.0
PAC,2024,8,0.0
PAC,2024,9,0.0
PAC,2024,10,0.0
PAC,2024,11,0.0
PAC,2024,12,0.0
PAC,2025,1,0.0
PAC,2025,2,0.0
PAC,2025,3,0.0
PAC,2025,4,0.0
PAC,2025,5,0.0
PAC,2025,6,0.0
PAC,2025,7,0.0
PAC,2025,8,0.0
PAC,2025,9,0.0
PAC,2025,10,0.0
PAC,2025,11,0.0
PAC,2025,12,0.0
PSE,2021,1,0.0
PSE,2021,2,0.0
PSE,2021,3,0.0
PSE,2021,4,1300201.0
PSE,2021,5,981061.0
PSE,2021,6,797883.0
PSE,2021,7,775737.0
PSE,2021,8,600547.0
PSE,2021,9,820546.0
PSE,2021,10,101349.0
PSE,2021,11,713497.0
PSE,2021,12,142439.0
PSE,2022,1,2442725.0
PSE,2022,2,2231024.0
PSE,2022,3,946680.0
PSE,2022,4,1836416.0
PSE,2022,5,1047130.0
PSE,2022,6,1253673.0
PSE,2022,7,978887.0
PSE,2022,8,801777.0
PSE,2022,9,1763299.0
PSE,2022,10,181521.0
PSE,2022,11,539068.0
PSE,2022,12,2015707.0
PSE,2023,1,2090498.0
PSE,2023,2,1003033.0
PSE,2023,3,2438274.0
PSE,2023,4,1281848.0
PSE,2023,5,2273107.0
PSE,2023,6,1761043.0
PSE,2023,7,2009914.0
PSE,2023,8,2865283.0
PSE,2023,9,2189287.0
PSE,2023,10,157289.0
PSE,2023,11,544638.0
PSE,2023,12,2214802.0
PSE,2024,1,6381397.0
PSE,2024,2,6007815.0
PSE,2024,3,6470232.0
PSE,2024,4,6606945.0
PSE,2024,5,3255059.0
PSE,2024,6,4788872.0
PSE,2024,7,6660004.0
PSE,2024,8,6033287.0
PSE,2024,9,6482096.0
PSE,2024,10,1353708.0
PSE,2024,11,2651133.0
PSE,2024,12,4439681.0
PSE,2025,1,7520033.0
PSE,2025,2,5769972.0
PSE,2025,3,4794217.0
PSE,2025,4,6835753.0
PSE,2025,5,8223714.0
PSE,2025,6,2597661.0
PSE,2025,7,8232903.0
PSE,2025,8,11109045.0
PSE,2025,9,13314708.0
PSE,2025,10,3795311.0
PSE,2025,11,6568299.0
PSE,2025,12,10176394.0
