Utility,Year,Month,Zip Code,Collections Revenue Amount
Avista,2025,7,99223,-4277.86
Avista,2025,4,99207,-3712.94
Avista,2025,1,99013,-792.68
Avista,2025,3,99344,-1373.51
Avista,2025,5,99004,-270.48
Avista,2025,2,99040,-16.5
Avista,2025,5,99016,-1243.59
Avista,2025,7,99403,-831.25
Avista,2025,1,99006,-186.71
Avista,2025,8,99114,-873.95
Avista,2025,4,99204,-408.0
Avista,2025,2,99143,-296.82
Avista,2025,3,99212,-3831.29
Avista,2025,8,99216,-3254.44
Avista,2025,11,99003,-454.24
Avista,2025,6,99027,-746.9
Avista,2025,5,99344,-1689.29
Avista,2025,9,99224,-241.33
Avista,2025,10,99021,-262.42
Avista,2025,2,99201,-2058.88
Avista,2025,10,99216,-1723.14
Avista,2025,10,99217,-2069.85
Avista,2025,2,99013,-300.0
Avista,2025,9,99212,-4521.46
Avista,2025,4,99021,-399.9
Avista,2025,10,99159,-100.0
Avista,2025,2,99111,-100.0
Avista,2025,10,99202,-4232.14
Avista,2025,3,99016,-1028.41
Avista,2025,8,99163,-2007.23
Avista,2025,4,99224,-747.85
Avista,2025,3,99216,-4889.62
Avista,2025,4,99344,-713.94
Avista,2025,2,99344,-1197.14
Avista,2025,10,99206,-965.92
Avista,2025,9,99208,-3494.38
Avista,2025,6,99203,-2512.92
Avista,2025,5,99173,-1054.34
Avista,2025,12,99148,-1702.32
Avista,2025,5,99202,-1473.24
Avista,2025,10,99022,-1997.69
Avista,2025,12,99205,-3408.53
Avista,2025,5,99102,-146.81
Avista,2025,9,99163,-1949.13
Avista,2025,1,99161,-300.0
Avista,2025,1,99202,-1143.09
Avista,2025,10,99114,-405.68
Avista,2025,4,99013,-300.0
Avista,2025,9,98620,-89.25
Avista,2025,5,99163,-1550.94
Avista,2025,6,99001,-100.0
Avista,2025,6,99169,-967.64
Avista,2025,11,99206,-1950.41
Avista,2025,5,99001,-1637.66
Avista,2025,1,99207,-4926.82
Avista,2025,5,99217,-5143.24
Avista,2025,5,99138,-636.76
Avista,2025,10,99403,-1596.31
Avista,2025,2,99208,-3513.31
Avista,2025,6,99025,-373.42
Avista,2025,10,99185,-100.0
Avista,2025,12,99201,-1383.89
Avista,2025,12,99216,-658.93
Avista,2025,12,99203,-2484.99
Avista,2025,3,99203,-729.58
Avista,2025,4,99216,-1493.05
Avista,2025,4,99173,-108.06
Avista,2025,5,99169,-633.89
Avista,2025,1,99181,-50.0
Avista,2025,7,99001,-320.82
Avista,2025,6,99006,-510.0
Avista,2025,1,98620,-200.0
Avista,2025,11,99021,-385.24
Avista,2025,5,99201,-2561.13
Avista,2025,8,99141,-25.0
Avista,2025,11,99033,-25.0
Avista,2025,6,99202,-4167.22
Avista,2025,10,99003,-300.0
Avista,2025,12,99402,-134.81
Avista,2025,4,99212,-327.0
Avista,2025,10,99181,-53.98
Avista,2025,2,99022,-407.81
Avista,2025,12,99129,-300.0
Avista,2025,2,99101,-500.0
Avista,2025,3,99022,-619.6
Avista,2025,12,99101,-105.99
Avista,2025,2,99223,-1707.94
Avista,2025,7,99004,-1259.23
Avista,2025,11,98620,-145.15
Avista,2025,8,99125,-760.28
Avista,2025,10,99169,-50.0
Avista,2025,10,99027,-996.16
Avista,2025,2,99019,-340.0
Avista,2025,3,99208,-4877.38
Avista,2025,2,99181,-50.0
Avista,2025,9,99009,-258.14
Avista,2025,7,99037,-50.0
Avista,2025,1,99122,-100.0
Avista,2025,9,99037,-214.78
Avista,2025,6,99122,-221.0
Avista,2025,3,99110,-300.0
Avista,2025,3,99161,-250.0
Avista,2025,6,99022,-226.34
Avista,2025,9,99027,-2324.3
Avista,2025,1,99109,-211.94
Avista,2025,5,99403,-3937.34
Avista,2025,9,99006,-291.32
Avista,2025,7,99016,-3772.87
Avista,2025,7,99218,-1251.78
Avista,2025,10,99004,-25.0
Avista,2025,2,99006,-1753.23
Avista,2025,10,99208,-5642.44
Avista,2025,1,99022,-451.34
Avista,2025,7,99207,-2520.83
Avista,2025,11,99006,-877.17
Avista,2025,12,99217,-1079.84
Avista,2025,5,99207,-5684.94
Avista,2025,12,99019,-637.08
Avista,2025,2,99224,-1607.14
Avista,2025,10,99033,-148.25
Avista,2025,11,99109,-342.54
Avista,2025,4,99016,-1222.52
Avista,2025,12,99109,-337.45
Avista,2025,4,99037,-348.76
Avista,2025,10,99122,-100.0
Avista,2025,3,99037,-142.75
Avista,2025,12,99218,-418.48
Avista,2025,10,99025,-392.6
Avista,2025,6,99101,-90.77
Avista,2025,11,99169,-50.0
Avista,2025,6,99141,-354.0
Avista,2025,5,99110,-84.37
Avista,2025,8,99344,-1627.07
Avista,2025,1,99027,-721.9
Avista,2025,9,99013,-166.07
Avista,2025,3,99204,-723.68
Avista,2025,8,99170,-97.09
Avista,2025,10,99009,-50.0
Avista,2025,2,99206,-1701.84
Avista,2025,3,99013,-301.7
Avista,2025,5,99013,-265.68
Avista,2025,8,99204,-205.0
Avista,2025,9,99005,-400.0
Avista,2025,11,99201,-923.52
Avista,2025,6,99110,-47.45
Avista,2025,2,99130,-396.7
Avista,2025,4,99203,-1810.11
Avista,2025,12,99001,-429.98
Avista,2025,9,99161,-70.0
Avista,2025,1,99201,-1378.87
Avista,2025,10,99205,-6401.82
Avista,2025,8,99005,-1385.76
Avista,2025,12,99122,-522.2
Avista,2025,11,99204,-801.24
Avista,2025,9,99203,-898.26
Avista,2025,9,99344,-1774.39
Avista,2025,4,99205,-1948.68
Avista,2025,4,99202,-108.4
Avista,2025,11,99027,-560.06
Avista,2025,3,99403,-2782.84
Avista,2025,6,99344,-926.18
Avista,2025,6,99402,-31.43
Avista,2025,8,99111,-396.5
Avista,2025,8,99341,-25.0
Avista,2025,12,99202,-2298.71
Avista,2025,11,99163,-3800.75
Avista,2025,3,99006,-733.86
Avista,2025,3,99206,-2216.49
Avista,2025,9,99169,-50.0
Avista,2025,5,99141,-860.59
Avista,2025,7,99402,-1259.53
Avista,2025,3,99223,-3078.2
Avista,2025,1,99003,-288.06
Avista,2025,7,99159,-35.0
Avista,2025,9,99207,-4623.06
Avista,2025,4,99403,-1456.29
Avista,2025,11,99111,-105.53
Avista,2025,3,99181,-50.0
Avista,2025,6,99005,-200.0
Avista,2025,8,99016,-2624.68
Avista,2025,4,99170,-11.09
Avista,2025,3,99102,-40.0
Avista,2025,5,99111,-180.89
Avista,2025,8,99403,-625.36
Avista,2025,4,99114,-447.49
Avista,2025,11,99217,-5845.59
Avista,2025,12,99021,-313.4
Avista,2025,5,99223,-3036.25
Avista,2025,10,99344,-246.41
Avista,2025,3,99122,-233.31
Avista,2025,3,99001,-1270.27
Avista,2025,6,99205,-5069.39
Avista,2025,2,99141,-1092.52
Avista,2025,12,99224,-649.95
Avista,2025,11,99216,-731.22
Avista,2025,5,99031,-340.35
Avista,2025,9,99125,-298.41
Avista,2025,2,99021,-134.4
Avista,2025,10,99224,-666.76
Avista,2025,9,99402,-266.14
Avista,2025,9,99103,-200.0
Avista,2025,5,99114,-530.01
Avista,2025,6,99114,-405.38
Avista,2025,5,99027,-1042.77
Avista,2025,11,99012,-36.86
Avista,2025,3,99141,-890.73
Avista,2025,7,99025,-100.0
Avista,2025,5,99208,-8539.2
Avista,2025,7,99206,-2308.61
Avista,2025,12,99016,-586.16
Avista,2025,8,99027,-339.3
Avista,2025,2,99403,-1182.71
Avista,2025,6,99207,-4185.57
Avista,2025,12,99159,-100.0
Avista,2025,5,99148,-517.91
Avista,2025,1,99344,-1676.65
Avista,2025,10,99161,-70.0
Avista,2025,7,99019,-786.56
Avista,2025,10,99163,-4047.07
Avista,2025,10,99016,-352.32
Avista,2025,10,99030,-122.64
Avista,2025,6,98620,-184.96
Avista,2025,11,99114,-1721.79
Avista,2025,6,99403,-2376.86
Avista,2025,9,99003,-600.0
Avista,2025,4,99141,-166.3
Avista,2025,2,99003,-200.0
Avista,2025,8,99004,-25.0
Avista,2025,9,99217,-742.53
Avista,2025,3,99005,-565.66
Avista,2025,2,99004,-13.18
Avista,2025,9,99201,-2786.55
Avista,2025,12,99111,-50.0
Avista,2025,1,99203,-3798.19
Avista,2025,6,99217,-1394.84
Avista,2025,2,99205,-1969.58
Avista,2025,6,99208,-3778.22
Avista,2025,6,99111,-193.6
Avista,2025,11,99009,-50.0
Avista,2025,11,99037,-373.78
Avista,2025,9,99206,-2149.27
Avista,2025,11,99129,-150.0
Avista,2025,9,99170,-97.09
Avista,2025,8,99021,-372.31
Avista,2025,1,99004,-3180.7
Avista,2025,12,99027,-597.78
Avista,2025,7,99205,-3783.61
Avista,2025,3,99201,-3370.43
Avista,2025,5,99005,-278.21
Avista,2025,4,99027,-5.54
Avista,2025,1,99206,-875.65
Avista,2025,11,99403,-2879.72
Avista,2025,2,99001,-507.5
Avista,2025,10,99001,-244.0
Avista,2025,3,99163,-2161.64
Avista,2025,8,99159,-30.0
Avista,2025,5,99205,-9617.5
Avista,2025,6,99204,-791.65
Avista,2025,1,99159,-300.0
Avista,2025,3,99003,-893.37
Avista,2025,7,99216,-1726.53
Avista,2025,12,99037,-50.0
Avista,2025,11,99205,-6041.38
Avista,2025,7,99003,-447.58
Avista,2025,2,99173,-15.0
Avista,2025,6,99021,-40.97
Avista,2025,1,99021,-2345.76
Avista,2025,9,99109,-50.69
Avista,2025,11,99159,-100.0
Avista,2025,2,99016,-912.93
Avista,2025,7,99212,-1060.78
Avista,2025,7,99224,-2839.29
Avista,2025,7,99163,-3543.95
Avista,2025,12,99114,-840.97
Avista,2025,6,99206,-1849.66
Avista,2025,5,99009,-437.07
Avista,2025,5,99021,-180.95
Avista,2025,3,99101,-764.58
Avista,2025,7,99109,-1231.54
Avista,2025,12,99003,-2197.46
Avista,2025,12,99005,-135.0
Avista,2025,10,99103,-278.5
Avista,2025,7,99204,-819.32
Avista,2025,10,99037,-461.87
Avista,2025,6,99016,-1295.92
Avista,2025,9,99022,-368.62
Avista,2025,4,99110,-300.0
Avista,2025,4,98620,-54.54
Avista,2025,5,99022,-421.74
Avista,2025,1,99019,-270.47
Avista,2025,7,99006,-442.04
Avista,2025,5,99203,-2486.6
Avista,2025,4,99217,-1072.16
Avista,2025,9,99016,-891.59
Avista,2025,6,99223,-3250.39
Avista,2025,3,98620,-43.5
Avista,2025,11,99022,-1210.21
Avista,2025,6,99224,-2232.86
Avista,2025,2,99005,-150.0
Avista,2025,8,99003,-512.63
Avista,2025,7,99217,-2003.32
Avista,2025,9,99403,-6024.88
Avista,2025,1,99208,-6436.13
Avista,2025,8,99206,-1886.52
Avista,2025,11,99202,-2790.15
Avista,2025,5,99039,-81.51
Avista,2025,11,99207,-3247.34
Avista,2025,7,99122,-200.0
Avista,2025,1,99141,-87.87
Avista,2025,11,99016,-1340.87
Avista,2025,11,99103,-200.0
Avista,2025,7,99167,-1531.67
Avista,2025,5,99029,-1207.73
Avista,2025,11,99143,-701.67
Avista,2025,3,99218,-2239.19
Avista,2025,3,99207,-5182.72
Avista,2025,10,99204,-586.46
Avista,2025,5,99206,-3332.88
Avista,2025,11,99371,-80.0
Avista,2025,7,99114,-512.2
Avista,2025,3,99224,-1037.55
Avista,2025,8,99019,-0.24
Avista,2025,8,99224,-646.44
Avista,2025,2,99161,-300.0
Avista,2025,5,99037,-433.54
Avista,2025,8,99205,-5839.64
Avista,2025,9,99185,-32.53
Avista,2025,6,99212,-1492.74
Avista,2025,5,99006,-125.0
Avista,2025,11,99161,-803.24
Avista,2025,4,99006,-25.0
Avista,2025,3,99202,-486.7
