Utility,Year,Month,Zip Code,Uncollectible Arrearage Amount
Avista,2025,9,99208,51518.32
Avista,2025,5,99201,18966.79
Avista,2025,2,99208,25239.48
Avista,2025,3,99161,413.79
Avista,2025,8,99001,5238.48
Avista,2025,1,99185,149.26
Avista,2025,3,99117,653.39
Avista,2025,3,99169,1312.18
Avista,2025,9,99402,928.25
Avista,2025,6,99109,4128.1
Avista,2025,6,99129,5332.41
Avista,2025,4,99021,3669.54
Avista,2025,2,99403,10716.9
Avista,2025,1,99101,542.97
Avista,2025,1,99027,652.58
Avista,2025,1,99030,134.21
Avista,2025,2,99016,3574.27
Avista,2025,8,99344,15230.49
Avista,2025,8,99138,337.1
Avista,2025,9,99148,360.75
Avista,2025,3,99101,1123.48
Avista,2025,6,99019,4061.55
Avista,2025,7,99344,12086.88
Avista,2025,8,99101,989.74
Avista,2025,6,99001,6283.4
Avista,2025,6,99110,605.0
Avista,2025,2,99005,1749.18
Avista,2025,8,99170,1091.88
Avista,2025,9,99185,3462.07
Avista,2025,1,99161,233.67
Avista,2025,1,99217,15935.03
Avista,2025,5,99025,373.42
Avista,2025,2,99203,4797.72
Avista,2025,8,99021,3167.05
Avista,2025,7,99217,24108.48
Avista,2025,2,99034,8089.7
Avista,2025,6,99169,10464.46
Avista,2025,9,99030,896.93
Avista,2025,3,99009,909.07
Avista,2025,3,99217,25782.31
Avista,2025,7,99030,1152.96
Avista,2025,1,99137,32.88
Avista,2025,5,99204,8643.53
Avista,2025,7,99158,789.45
Avista,2025,6,99130,908.4
Avista,2025,7,99025,452.16
Avista,2025,6,99217,44349.75
Avista,2025,5,99207,54694.28
Avista,2025,7,99216,25082.33
Avista,2025,6,99171,739.5
Avista,2025,3,99216,10740.48
Avista,2025,1,99148,134.13
Avista,2025,6,99185,108.25
Avista,2025,9,99027,6209.22
Avista,2025,7,99111,3171.15
Avista,2025,8,99403,14549.59
Avista,2025,4,99138,1176.41
Avista,2025,5,99159,310.21
Avista,2025,4,99206,17040.54
Avista,2025,7,99185,1058.06
Avista,2025,3,99003,1269.42
