Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
Avista,2025,4,99134,30 Days,1065.34
Avista,2025,4,99110,Total Arrearages,10843.84
Avista,2025,3,99141,60 Days,4312.98
Avista,2025,1,99009,90 Days +,3655.5
Avista,2025,3,99125,Total Arrearages,4192.79
Avista,2025,1,99034,30 Days,602.31
Avista,2025,8,99207,30 Days,42348.74
Avista,2025,7,99113,Total Arrearages,297.81
Avista,2025,9,99158,Total Arrearages,2943.93
Avista,2025,8,99224,90 Days +,20995.4
Avista,2025,8,99160,90 Days +,20.76
Avista,2025,2,99003,Total Arrearages,3132.8
Avista,2025,4,99344,Total Arrearages,106591.88
Avista,2025,9,99122,90 Days +,4802.88
Avista,2025,6,99157,Total Arrearages,4398.06
Avista,2025,9,99157,90 Days +,1811.93
Avista,2025,4,99037,Total Arrearages,15084.2
Avista,2025,6,99030,30 Days,295.46
Avista,2025,3,99402,60 Days,945.98
Avista,2025,1,99208,90 Days +,88188.85
Avista,2025,7,99138,Total Arrearages,13937.17
Avista,2025,7,99158,30 Days,147.02
Avista,2025,7,99223,30 Days,16097.85
Avista,2025,9,98857,Total Arrearages,0.0
Avista,2025,7,99223,90 Days +,57830.79
Avista,2025,7,99020,Total Arrearages,934.22
Avista,2025,3,99218,Total Arrearages,42661.1
Avista,2025,8,99371,30 Days,266.34
Avista,2025,4,99216,60 Days,112165.94
Avista,2025,4,99402,30 Days,982.7
Avista,2025,9,99034,Total Arrearages,0.0
Avista,2025,8,99171,30 Days,237.34
Avista,2025,9,99341,60 Days,4307.82
Avista,2025,5,99013,90 Days +,44305.22
Avista,2025,9,99114,90 Days +,19763.91
Avista,2025,2,99203,60 Days,5502.17
Avista,2025,5,99018,Total Arrearages,425.18
Avista,2025,5,99012,30 Days,1293.62
Avista,2025,2,99185,30 Days,1787.72
Avista,2025,6,99216,60 Days,93158.58
Avista,2025,2,99138,90 Days +,2336.63
Avista,2025,5,99126,60 Days,12390.41
Avista,2025,7,99344,60 Days,22000.08
Avista,2025,1,99102,90 Days +,998.28
Avista,2025,6,99219,Total Arrearages,0.0
Avista,2025,3,99101,90 Days +,3740.95
Avista,2025,4,99004,60 Days,7503.79
Avista,2025,8,99114,30 Days,7457.04
Avista,2025,5,99114,30 Days,15024.75
Avista,2025,9,99224,60 Days,56538.31
Avista,2025,9,99208,Total Arrearages,327531.79
Avista,2025,8,99173,90 Days +,19295.0
Avista,2025,9,99039,60 Days,938.52
Avista,2025,8,99037,60 Days,6850.29
Avista,2025,9,99033,Total Arrearages,12003.11
Avista,2025,9,99009,60 Days,1476.53
Avista,2025,4,99174,90 Days +,711.87
Avista,2025,9,99039,Total Arrearages,1377.39
Avista,2025,1,99122,60 Days,256.97
Avista,2025,2,99004,30 Days,506.12
Avista,2025,3,99114,90 Days +,21494.09
Avista,2025,2,99006,60 Days,1987.87
Avista,2025,5,99134,Total Arrearages,7981.76
Avista,2025,7,99021,Total Arrearages,28809.11
Avista,2025,7,99201,90 Days +,37183.14
Avista,2025,6,99114,Total Arrearages,80038.56
Avista,2025,7,99101,Total Arrearages,10953.12
Avista,2025,1,99224,90 Days +,22673.44
Avista,2025,4,99030,60 Days,1061.24
Avista,2025,1,99216,30 Days,10533.09
Avista,2025,5,99219,Total Arrearages,0.0
Avista,2025,8,99223,30 Days,17587.39
Avista,2025,4,99170,Total Arrearages,5052.6
Avista,2025,6,99016,60 Days,68807.15
Avista,2025,8,99371,90 Days +,409.91
Avista,2025,6,99005,60 Days,6358.32
Avista,2025,8,99037,30 Days,815.62
Avista,2025,9,99130,90 Days +,3234.37
Avista,2025,2,99039,30 Days,574.32
Avista,2025,6,99009,90 Days +,4840.58
Avista,2025,8,99260,Total Arrearages,0.0
Avista,2025,6,99005,Total Arrearages,11732.25
Avista,2025,9,99019,Total Arrearages,34245.03
Avista,2025,6,99032,30 Days,331.9
Avista,2025,9,99138,90 Days +,7646.49
Avista,2025,3,99201,60 Days,22663.69
Avista,2025,7,99169,Total Arrearages,12828.6
Avista,2025,7,99021,30 Days,3358.56
Avista,2025,2,99137,Total Arrearages,2896.15
Avista,2025,8,99030,90 Days +,2404.09
Avista,2025,4,99030,30 Days,956.49
Avista,2025,9,99113,Total Arrearages,359.53
Avista,2025,7,99012,Total Arrearages,3491.65
Avista,2025,9,99117,60 Days,488.2
Avista,2025,3,99223,60 Days,27318.03
Avista,2025,3,99160,Total Arrearages,441.13
Avista,2025,6,99402,90 Days +,648.67
Avista,2025,8,99205,Total Arrearages,272488.28
Avista,2025,1,99335,Total Arrearages,0.0
Avista,2025,5,99004,Total Arrearages,17174.99
Avista,2025,1,99117,Total Arrearages,1026.75
Avista,2025,5,99126,90 Days +,7074.16
Avista,2025,1,99034,Total Arrearages,1107.38
Avista,2025,1,99341,30 Days,1110.97
Avista,2025,3,99021,Total Arrearages,27290.84
Avista,2025,5,99125,Total Arrearages,4285.58
Avista,2025,4,99037,90 Days +,6256.78
Avista,2025,7,99158,90 Days +,1653.11
Avista,2025,3,99130,60 Days,1004.96
Avista,2025,8,99218,30 Days,11554.88
Avista,2025,7,99104,Total Arrearages,0.0
Avista,2025,4,99402,90 Days +,1041.71
Avista,2025,3,99138,90 Days +,3042.0
Avista,2025,3,99019,60 Days,2597.23
Avista,2025,4,99141,60 Days,19709.74
Avista,2025,7,99129,Total Arrearages,9697.22
Avista,2025,4,99219,Total Arrearages,0.0
Avista,2025,3,99170,60 Days,1123.91
Avista,2025,6,99004,30 Days,778.73
Avista,2025,2,99176,Total Arrearages,0.0
Avista,2025,6,99009,Total Arrearages,9431.94
Avista,2025,1,99160,Total Arrearages,431.09
Avista,2025,8,99111,60 Days,8541.73
Avista,2025,3,99014,90 Days +,0.0
Avista,2025,7,99110,60 Days,7585.94
Avista,2025,4,99160,60 Days,1537.98
Avista,2025,1,99021,30 Days,4573.59
Avista,2025,2,99151,Total Arrearages,871.09
Avista,2025,8,99026,60 Days,825.58
Avista,2025,1,99102,60 Days,1798.94
Avista,2025,5,99161,60 Days,5284.59
Avista,2025,1,99161,60 Days,348.21
Avista,2025,8,99103,60 Days,821.28
Avista,2025,3,99033,30 Days,1581.57
Avista,2025,6,99169,60 Days,5939.85
Avista,2025,3,99203,60 Days,12137.81
Avista,2025,7,99160,60 Days,44.85
Avista,2025,6,99181,30 Days,2089.85
Avista,2025,5,99126,Total Arrearages,20653.25
Avista,2025,7,99037,Total Arrearages,9688.84
Avista,2025,3,99022,60 Days,5256.78
Avista,2025,5,99181,30 Days,4051.89
Avista,2025,3,99031,30 Days,539.78
Avista,2025,7,99174,Total Arrearages,114.98
Avista,2025,1,99205,30 Days,36738.32
Avista,2025,3,99207,90 Days +,105058.04
Avista,2025,1,99126,90 Days +,1301.97
Avista,2025,2,99159,90 Days +,3979.74
Avista,2025,2,99131,Total Arrearages,150.57
Avista,2025,5,99217,60 Days,95763.08
Avista,2025,2,99176,90 Days +,0.0
Avista,2025,8,99020,60 Days,543.56
Avista,2025,8,99003,60 Days,4811.01
Avista,2025,4,99125,90 Days +,3456.91
Avista,2025,3,99217,Total Arrearages,91671.03
Avista,2025,1,99176,Total Arrearages,0.0
Avista,2025,9,98620,30 Days,30.12
Avista,2025,9,99170,30 Days,706.42
Avista,2025,6,99126,30 Days,879.82
Avista,2025,3,99173,60 Days,5543.77
Avista,2025,9,99341,90 Days +,2591.48
Avista,2025,6,99125,Total Arrearages,4434.78
Avista,2025,9,99203,30 Days,9723.57
Avista,2025,7,99159,Total Arrearages,4533.85
Avista,2025,6,99131,Total Arrearages,319.86
Avista,2025,2,99158,90 Days +,949.63
Avista,2025,1,99022,60 Days,2485.46
Avista,2025,2,99025,90 Days +,4955.02
Avista,2025,3,99161,Total Arrearages,4618.36
Avista,2025,7,99031,30 Days,345.65
Avista,2025,9,99129,30 Days,1402.01
Avista,2025,6,99160,Total Arrearages,562.33
Avista,2025,3,99224,30 Days,16574.94
Avista,2025,4,99161,30 Days,1499.52
Avista,2025,4,99224,30 Days,14554.58
Avista,2025,7,99019,60 Days,15258.16
Avista,2025,6,99371,Total Arrearages,2505.79
Avista,2025,5,99167,30 Days,1020.85
Avista,2025,6,99179,30 Days,257.73
Avista,2025,5,99016,Total Arrearages,100744.53
Avista,2025,2,99013,30 Days,2490.53
Avista,2025,8,99122,30 Days,1374.0
Avista,2025,4,99012,60 Days,2634.0
Avista,2025,6,99018,Total Arrearages,436.36
Avista,2025,7,99181,Total Arrearages,7997.66
Avista,2025,9,99143,30 Days,155.52
Avista,2025,2,99260,Total Arrearages,0.0
Avista,2025,9,99125,60 Days,1087.32
Avista,2025,2,99159,Total Arrearages,4136.94
Avista,2025,8,99169,60 Days,3613.27
Avista,2025,4,99009,60 Days,16591.01
Avista,2025,7,99031,60 Days,1231.54
Avista,2025,7,99217,Total Arrearages,136818.31
Avista,2025,9,99040,30 Days,951.33
Avista,2025,6,99179,Total Arrearages,4770.88
