Utility,Zip Code,Month,Arrearage Count
PSE,98922,2023-01-01,695
NWN,98661,2024-07-01,712
PSE,98433,2023-06-01,280
PSE,98224,2024-12-01,31
PSE,98385,2022-12-01,21
Avista,99020,2021-11-01,1
PAC,98923,2025-01-01,106
PSE,98119,2023-01-01,513
PSE,98087,2021-12-01,722
PSE,98444,2022-08-01,761
PSE,98177,2023-11-01,491
CNG,98278,2023-01-01,7
PSE,98498,2022-05-01,704
PSE,98342,2022-07-01,131
PSE,98385,2023-04-01,1555
Avista,99185,2024-11-01,37
PSE,98002,2024-09-01,3496
PSE,98065,2024-02-01,719
NWN,97388,2023-01-01,0
PSE,98579,2023-02-01,826
PSE,98257,2024-07-01,398
PSE,98011,2021-01-01,993
PSE,98051,2025-01-01,238
CNG,98282,2023-01-01,32
Avista,99006,2021-03-01,247
PSE,98296,2024-05-01,403
PAC, 98921  ,2024-07-01,83
CNG,98383,2024-01-01,209
PAC, 99347  ,2024-08-01,110
PSE,98512,2022-01-01,1941
PSE,98513,2022-10-01,2386
PSE,98346,2023-01-01,545
NWN,98666,2024-09-01,0
PSE,98281,2024-03-01,442
PSE,98498,2022-10-01,1793
PSE,98134,2023-05-01,18
PSE,98198,2024-11-01,3511
PSE,98074,2021-11-01,370
PSE,98002,2024-12-01,3885
PSE,98328,2022-01-01,26
PSE,98335,2022-08-01,408
PSE,98006,2024-12-01,1255
Avista,99335,2024-03-01,0
PSE,98204,2022-09-01,631
PSE,98104,2021-02-01,41
PSE,98506,2021-04-01,1139
PSE,98223,2021-10-01,59
PSE,98328,2024-10-01,42
NWN,98664,2025-01-01,480
PSE,98168,2024-08-01,1101
Avista,99125,2023-07-01,31
PSE,98055,2024-07-01,1968
Avista,99161,2021-01-01,58
PSE,98406,2025-02-01,523
Avista,99027,2023-09-01,318
PSE,98144,2024-06-01,1169
Avista,98620,2022-10-01,97
PSE,98388,2021-07-01,129
Avista,98857,2021-01-01,4
NWN,98660,2025-05-01,410
NWN,98127,2025-06-01,0
CNG,98932,2024-06-01,72
CNG,99324,2023-10-01,164
Avista,99027,2025-03-01,248
NWN,98672,2025-02-01,120
PSE,98499,2021-05-01,546
NWN,98628,2023-01-01,23
PSE,98580,2023-09-01,433
Avista,99149,2022-11-01,13
CNG,98383,2023-10-01,219
CNG,99324,2025-03-01,182
CNG,98932,2023-03-01,32
CNG,99336,2024-04-01,397
PSE,98238,2023-03-01,4
PSE,98072,2024-07-01,912
PSE,98003,2021-06-01,3900
NWN,98675,2024-08-01,0
Avista,99037,2023-08-01,277
PSE,98446,2023-08-01,414
PSE,98374,2024-10-01,2824
PSE,98021,2021-12-01,536
CNG,98902,2024-11-01,1308
CNG,98284,2023-11-01,320
PSE,98328,2024-06-01,40
PSE,98072,2024-05-01,875
PSE,98359,2025-03-01,288
Avista,99111,2025-09-01,118
PAC, 99363  ,2024-12-01,21
PSE,98364,2025-04-01,186
PSE,98342,2021-05-01,95
Avista,99019,2023-05-01,358
PSE,98023,2024-04-01,4112
PSE,98364,2024-07-01,1
CNG,98277,2025-01-01,306
Avista,99003,2024-07-01,74
NWN,98617,2024-12-01,0
PSE,98072,2022-02-01,797
PSE,98039,2023-01-01,71
CNG,98345,2022-03-01,7
Avista,99181,2023-03-01,131
Avista,99026,2024-06-01,79
NWN,98668,2023-10-01,0
Avista,99040,2024-07-01,56
PSE,98312,2025-05-01,3070
PSE,98055,2023-09-01,2332
PSE,98077,2025-01-01,197
PSE,98943,2022-01-01,77
PSE,98424,2023-06-01,533
PSE,98260,2023-03-01,325
