Utility,Year,Month,Zip Code,Collections Accounts Customer Count
Avista,2025,4,99101,2
Avista,2025,4,99109,3
Avista,2025,4,99110,4
Avista,2025,4,99111,5
Avista,2025,4,99114,15
Avista,2025,4,99117,1
Avista,2025,4,99125,1
Avista,2025,4,99126,1
Avista,2025,4,99129,3
Avista,2025,4,99130,2
Avista,2025,4,99137,2
Avista,2025,4,99138,3
Avista,2025,4,99141,10
Avista,2025,4,99148,3
Avista,2025,4,99157,2
Avista,2025,4,99159,3
Avista,2025,4,99160,1
Avista,2025,4,99161,2
Avista,2025,4,99163,99
Avista,2025,4,99169,6
Avista,2025,4,99170,2
Avista,2025,4,99173,1
Avista,2025,4,99181,5
Avista,2025,4,99185,1
Avista,2025,4,99201,79
Avista,2025,4,99202,66
Avista,2025,4,99203,11
Avista,2025,4,99204,27
Avista,2025,4,99205,54
Avista,2025,4,99206,44
Avista,2025,4,99207,111
Avista,2025,4,99208,103
Avista,2025,4,99212,53
Avista,2025,4,99216,53
Avista,2025,4,99217,34
Avista,2025,4,99218,37
Avista,2025,4,99223,48
Avista,2025,4,99224,44
Avista,2025,4,99341,4
Avista,2025,4,99344,33
Avista,2025,4,99371,2
Avista,2025,4,99402,5
Avista,2025,4,99403,70
Avista,2025,5,98620,4
Avista,2025,5,98648,1
Avista,2025,5,99001,8
Avista,2025,5,99003,3
Avista,2025,5,99004,4
Avista,2025,5,99005,4
Avista,2025,5,99006,8
Avista,2025,5,99009,2
Avista,2025,5,99012,1
Avista,2025,5,99013,1
Avista,2025,5,99016,13
Avista,2025,5,99019,11
Avista,2025,5,99021,9
Avista,2025,5,99022,12
Avista,2025,5,99025,1
Avista,2025,5,99026,1
Avista,2025,5,99027,8
Avista,2025,5,99029,1
Avista,2025,5,99030,3
Avista,2025,5,99031,1
Avista,2025,5,99032,1
Avista,2025,5,99033,1
Avista,2025,5,99037,4
Avista,2025,5,99040,2
Avista,2025,5,99101,1
Avista,2025,5,99109,2
Avista,2025,5,99110,1
Avista,2025,5,99111,1
Avista,2025,5,99114,21
Avista,2025,5,99117,1
Avista,2025,5,99122,3
Avista,2025,5,99138,1
Avista,2025,5,99141,10
Avista,2025,5,99148,2
Avista,2025,5,99149,1
Avista,2025,5,99157,2
Avista,2025,5,99158,1
Avista,2025,5,99159,1
Avista,2025,5,99163,43
Avista,2025,5,99169,9
Avista,2025,5,99170,1
Avista,2025,5,99173,6
Avista,2025,5,99181,2
Avista,2025,5,99185,1
Avista,2025,5,99201,44
Avista,2025,5,99202,55
Avista,2025,5,99203,23
Avista,2025,5,99204,23
Avista,2025,5,99205,60
Avista,2025,5,99206,26
Avista,2025,5,99207,98
Avista,2025,5,99208,95
Avista,2025,5,99212,28
Avista,2025,5,99216,36
Avista,2025,5,99217,36
Avista,2025,5,99218,20
Avista,2025,5,99223,39
Avista,2025,5,99224,33
Avista,2025,5,99341,1
Avista,2025,5,99344,27
Avista,2025,5,99402,2
Avista,2025,5,99403,27
Avista,2025,6,98620,3
Avista,2025,6,98648,1
Avista,2025,6,99001,10
