Utility,Year,Month,Zip Code,Disconnection Notice Count
Avista,2025,3,99019,186
Avista,2025,3,99021,139
Avista,2025,3,99022,114
Avista,2025,3,99023,5
Avista,2025,3,99025,67
Avista,2025,3,99026,41
Avista,2025,3,99027,138
Avista,2025,3,99029,25
Avista,2025,3,99030,29
Avista,2025,3,99031,10
Avista,2025,3,99032,17
Avista,2025,3,99033,25
Avista,2025,3,99034,5
Avista,2025,3,99037,70
Avista,2025,3,99039,7
Avista,2025,3,99040,39
Avista,2025,3,99101,45
Avista,2025,3,99102,16
Avista,2025,3,99103,10
Avista,2025,3,99109,72
Avista,2025,3,99110,13
Avista,2025,3,99111,66
Avista,2025,3,99113,5
Avista,2025,3,99114,284
Avista,2025,3,99117,6
Avista,2025,3,99122,42
Avista,2025,3,99125,17
Avista,2025,3,99126,26
Avista,2025,3,99128,5
Avista,2025,3,99129,23
Avista,2025,3,99130,14
Avista,2025,3,99131,5
Avista,2025,3,99134,20
Avista,2025,3,99137,12
Avista,2025,3,99138,34
Avista,2025,3,99141,121
Avista,2025,3,99143,10
Avista,2025,3,99146,1
Avista,2025,3,99148,73
Avista,2025,3,99149,2
Avista,2025,3,99151,9
Avista,2025,3,99157,33
Avista,2025,3,99158,10
Avista,2025,3,99159,28
Avista,2025,3,99160,5
Avista,2025,3,99161,28
Avista,2025,3,99163,490
Avista,2025,3,99164,1
Avista,2025,3,99167,17
Avista,2025,3,99169,64
Avista,2025,3,99170,18
Avista,2025,3,99171,15
Avista,2025,3,99173,65
Avista,2025,3,99174,4
Avista,2025,3,99176,3
Avista,2025,3,99179,16
Avista,2025,3,99181,59
Avista,2025,3,99185,26
Avista,2025,3,99201,421
Avista,2025,3,99202,573
Avista,2025,3,99203,406
Avista,2025,3,99204,240
Avista,2025,3,99205,1087
Avista,2025,3,99206,535
Avista,2025,3,99207,952
Avista,2025,3,99208,1154
Avista,2025,3,99212,498
Avista,2025,3,99216,367
Avista,2025,3,99217,411
Avista,2025,3,99218,275
Avista,2025,3,99223,609
Avista,2025,3,99224,440
Avista,2025,3,99326,4
Avista,2025,3,99341,19
Avista,2025,3,99344,267
Avista,2025,3,99371,9
Avista,2025,3,99402,34
Avista,2025,3,99403,321
Avista,2025,4,98620,19
Avista,2025,4,98648,4
Avista,2025,4,99001,80
Avista,2025,4,99003,39
Avista,2025,4,99004,86
Avista,2025,4,99005,86
Avista,2025,4,99006,140
Avista,2025,4,99008,8
Avista,2025,4,99009,28
Avista,2025,4,99012,18
Avista,2025,4,99013,63
Avista,2025,4,99014,3
Avista,2025,4,99016,220
Avista,2025,4,99018,5
Avista,2025,4,99019,121
Avista,2025,4,99020,2
Avista,2025,4,99021,91
Avista,2025,4,99022,119
Avista,2025,4,99023,1
Avista,2025,4,99025,51
Avista,2025,4,99026,52
Avista,2025,4,99027,82
Avista,2025,4,99029,23
Avista,2025,4,99030,15
Avista,2025,4,99031,7
Avista,2025,4,99032,15
Avista,2025,4,99033,29
Avista,2025,4,99034,5
Avista,2025,4,99037,48
Avista,2025,4,99039,1
Avista,2025,4,99040,44
Avista,2025,4,99101,36
Avista,2025,4,99102,11
Avista,2025,4,99103,4
Avista,2025,4,99109,80
Avista,2025,4,99110,11
Avista,2025,4,99111,75
Avista,2025,4,99113,3
Avista,2025,4,99114,253
Avista,2025,4,99117,6
Avista,2025,4,99122,27
Avista,2025,4,99125,10
Avista,2025,4,99126,23
Avista,2025,4,99128,3
Avista,2025,4,99129,16
Avista,2025,4,99130,11
Avista,2025,4,99131,1
Avista,2025,4,99134,12
Avista,2025,4,99137,16
Avista,2025,4,99138,39
Avista,2025,4,99141,97
Avista,2025,4,99143,7
Avista,2025,4,99146,3
Avista,2025,4,99148,53
Avista,2025,4,99149,2
Avista,2025,4,99151,3
Avista,2025,4,99157,22
Avista,2025,4,99158,14
Avista,2025,4,99159,15
Avista,2025,4,99160,5
Avista,2025,4,99161,21
Avista,2025,4,99163,318
Avista,2025,4,99164,1
Avista,2025,4,99167,12
Avista,2025,4,99169,54
Avista,2025,4,99170,11
Avista,2025,4,99171,21
Avista,2025,4,99173,61
Avista,2025,4,99174,2
Avista,2025,4,99176,3
Avista,2025,4,99179,15
Avista,2025,4,99181,34
Avista,2025,4,99185,17
Avista,2025,4,99201,330
Avista,2025,4,99202,415
Avista,2025,4,99203,282
Avista,2025,4,99204,203
Avista,2025,4,99205,844
Avista,2025,4,99206,393
Avista,2025,4,99207,733
Avista,2025,4,99208,794
Avista,2025,4,99212,398
Avista,2025,4,99216,252
Avista,2025,4,99217,304
Avista,2025,4,99218,232
Avista,2025,4,99223,362
Avista,2025,4,99224,303
Avista,2025,4,99341,14
Avista,2025,4,99344,215
Avista,2025,4,99371,4
Avista,2025,4,99402,33
Avista,2025,4,99403,254
Avista,2025,5,98620,21
Avista,2025,5,98648,3
Avista,2025,5,99001,70
Avista,2025,5,99003,36
Avista,2025,5,99004,60
Avista,2025,5,99005,73
Avista,2025,5,99006,93
Avista,2025,5,99008,10
Avista,2025,5,99009,20
Avista,2025,5,99012,18
Avista,2025,5,99013,46
Avista,2025,5,99014,3
Avista,2025,5,99016,202
Avista,2025,5,99018,2
Avista,2025,5,99019,108
Avista,2025,5,99020,2
Avista,2025,5,99021,84
Avista,2025,5,99022,86
Avista,2025,5,99025,47
Avista,2025,5,99026,28
Avista,2025,5,99027,84
Avista,2025,5,99029,17
Avista,2025,5,99030,11
Avista,2025,5,99031,10
Avista,2025,5,99032,12
Avista,2025,5,99033,19
Avista,2025,5,99034,1
Avista,2025,5,99037,46
Avista,2025,5,99039,3
Avista,2025,5,99040,40
Avista,2025,5,99101,26
Avista,2025,5,99102,5
Avista,2025,5,99103,10
Avista,2025,5,99109,61
Avista,2025,5,99110,9
Avista,2025,5,99111,46
Avista,2025,5,99113,2
Avista,2025,5,99114,184
Avista,2025,5,99117,7
Avista,2025,5,99122,38
Avista,2025,5,99125,7
Avista,2025,5,99126,21
Avista,2025,5,99128,2
Avista,2025,5,99129,19
Avista,2025,5,99130,9
Avista,2025,5,99131,1
Avista,2025,5,99134,8
Avista,2025,5,99137,7
Avista,2025,5,99138,31
Avista,2025,5,99141,73
Avista,2025,5,99143,7
Avista,2025,5,99146,2
Avista,2025,5,99148,41
Avista,2025,5,99149,3
Avista,2025,5,99151,3
Avista,2025,5,99157,24
Avista,2025,5,99158,8
Avista,2025,5,99159,7
Avista,2025,5,99160,4
Avista,2025,5,99161,16
Avista,2025,5,99163,358
Avista,2025,5,99167,6
Avista,2025,5,99169,40
Avista,2025,5,99170,6
Avista,2025,5,99171,10
Avista,2025,5,99173,47
Avista,2025,5,99174,3
Avista,2025,5,99176,1
Avista,2025,5,99179,8
Avista,2025,5,99181,30
Avista,2025,5,99185,17
Avista,2025,5,99201,249
Avista,2025,5,99202,341
Avista,2025,5,99203,194
Avista,2025,5,99204,150
Avista,2025,5,99205,699
Avista,2025,5,99206,336
Avista,2025,5,99207,631
Avista,2025,5,99208,702
Avista,2025,5,99212,340
Avista,2025,5,99216,244
Avista,2025,5,99217,306
Avista,2025,5,99218,202
Avista,2025,5,99223,379
Avista,2025,5,99224,267
Avista,2025,5,99341,9
Avista,2025,5,99344,125
Avista,2025,5,99371,5
Avista,2025,5,99402,13
Avista,2025,5,99403,169
Avista,2025,6,98620,9
Avista,2025,6,99001,45
Avista,2025,6,99003,22
Avista,2025,6,99004,22
Avista,2025,6,99005,31
Avista,2025,6,99006,67
Avista,2025,6,99008,10
Avista,2025,6,99009,17
Avista,2025,6,99012,13
Avista,2025,6,99013,43
