Utility,Year,Month,Zip Code,Late Fee Amount
NWN,2022,10,98610,0.0
Avista,2021,10,99122,0.0
CNG,2020,8,98226,0.0
PSE,2023,4,98122,0.0
CNG,2023,6,98370,0.0
PSE,2021,6,98074,0.0
NWN,2020,9,98642,0.0
NWN,2020,4,98629,0.0
PSE,2023,5,98467,0.0
PAC,2022,9,98938,0.0
Avista,2024,8,99223,0.0
Avista,2024,11,99117,0.0
Avista,2023,1,99217,0.0
PSE,2024,6,98466,0.0
Avista,2020,5,99218,0.0
NWN,2023,6,98628,0.0
CNG,2025,8,98295,0.0
NWN,2021,11,98674,0.0
PSE,2020,7,98045,0.0
PSE,2023,1,98070,0.0
PSE,2020,12,98467,0.0
PSE,2022,7,98404,0.0
PSE,2025,2,98208,0.0
Avista,2023,8,99167,0.0
NWN,2021,12,98864,0.0
Avista,2020,10,99212,0.0
PSE,2023,12,98327,0.0
PAC,2022,3,98932,0.0
CNG,2023,5,98223,0.0
Avista,2024,9,99205,0.0
PAC,2023,5,98921,0.0
PSE,2022,7,98092,0.0
PSE,2023,2,98030,0.0
PAC,2021,7,98948,0.0
NWN,2021,1,98601,0.0
PAC,2025,12,98948,35.06
PSE,2022,12,98337,0.0
Avista,2025,4,99103,0.0
PSE,2020,6,98053,0.0
PSE,2025,3,98444,0.0
Avista,2022,8,99018,0.0
Avista,2024,9,99158,0.0
PSE,2022,8,98005,0.0
PSE,2023,12,98178,0.0
Avista,2022,5,99129,0.0
PAC,2024,7,98952,0.0
NWN,2024,5,98683,0.0
NWN,2024,4,98208,0.0
PSE,2023,7,98922,0.0
Avista,2020,4,99027,0.0
PSE,2023,10,98040,0.0
NWN,2022,4,98119,0.0
PAC,2022,11,98908,0.0
Avista,2024,8,99004,0.0
CNG,2025,4,98802,0.0
PSE,2023,1,98589,0.0
Avista,2025,3,98648,0.0
PAC,2025,10,98903,6.71
CNG,2023,1,98625,0.0
PSE,2023,9,98370,0.0
Avista,2023,3,99122,0.0
PSE,2025,12,98144,0.0
PSE,2023,2,98058,0.0
PSE,2024,8,98056,0.0
CNG,2022,1,98367,0.0
PSE,2024,9,98380,0.0
CNG,2024,11,99344,0.0
Avista,2021,11,99151,0.0
PSE,2021,12,98037,0.0
PAC,2023,11,98952,0.0
CNG,2023,10,98550,0.0
PSE,2020,6,98116,0.0
PAC,2022,9,98939,0.0
Avista,2021,9,99101,0.0
CNG,2021,3,98557,0.0
Avista,2021,9,99158,0.0
PSE,2021,2,98277,0.0
Avista,2021,11,99021,0.0
PSE,2023,4,98106,0.0
CNG,2023,9,98584,0.0
PSE,2020,4,98053,0.0
CNG,2020,1,98230,0.0
PSE,2024,7,98277,0.0
PAC,2024,7,98939,0.0
PSE,2023,8,98201,0.0
Avista,2025,12,99170,0.0
PAC,2021,2,99329,0.0
PSE,2022,1,98270,0.0
NWN,2021,4,98648,0.0
NWN,2025,4,97388,0.0
PSE,2021,6,98204,0.0
CNG,2021,10,98802,0.0
CNG,2022,10,99350,0.0
PSE,2020,3,98941,0.0
Avista,2022,4,98857,0.0
PSE,2023,11,98146,0.0
CNG,2020,6,98264,0.0
Avista,2023,3,99033,0.0
PSE,2021,9,98512,0.0
Avista,2021,12,99014,0.0
PAC,2023,6,98921,0.0
PSE,2020,12,98359,0.0
Avista,2020,7,99160,0.0
PSE,2025,12,98117,0.0
PSE,2021,3,98045,0.0
PSE,2025,6,98922,0.0
PAC,2022,4,98942,0.0
PSE,2022,7,98255,0.0
PSE,2025,6,98026,0.0
PSE,2024,1,98057,0.0
PSE,2025,1,98119,0.0
NWN,2024,3,98639,0.0
NWN,2020,12,98127,0.0
PSE,2025,10,98125,0.0
CNG,2020,9,98584,0.0
PSE,2025,8,98387,0.0
PSE,2021,4,98148,0.0
PAC,2024,6,98952,0.0
PSE,2021,6,98380,0.0
NWN,2023,7,97301,0.0
Avista,2020,10,99341,0.0
Avista,2025,10,99206,0.0
Avista,2022,2,99129,0.0
Avista,2021,1,99021,0.0
PSE,2025,5,98370,0.0
PSE,2022,5,98418,0.0
CNG,2020,7,98948,0.0
PSE,2020,11,98467,0.0
PAC,2023,9,99361,0.0
PSE,2020,7,98402,0.0
PAC,2020,5,98935,0.0
Avista,2020,11,99130,0.0
PSE,2025,3,98074,0.0
CNG,2022,7,99336,0.0
PSE,2025,8,98576,0.0
PSE,2023,5,98502,0.0
NWN,2024,5,98668,0.0
CNG,2021,1,99323,0.0
PAC,2021,3,99328,0.0
PSE,2023,1,98404,0.0
PSE,2021,4,98262,0.0
PSE,2025,7,98027,0.0
PSE,2020,7,98532,0.0
Avista,2022,3,99371,0.0
PSE,2021,9,98321,0.0
PSE,2021,11,98102,0.0
CNG,2022,11,98233,0.0
CNG,2021,4,98932,0.0
CNG,2025,7,98225,0.0
PSE,2024,5,98038,0.0
CNG,2022,1,98932,0.0
Avista,2024,5,99107,0.0
PSE,2024,12,98275,0.0
PSE,2021,1,98244,0.0
NWN,2023,10,98127,0.0
PSE,2022,12,98102,0.0
Avista,2022,5,99176,0.0
CNG,2023,5,98948,0.0
Avista,2020,12,99025,0.0
CNG,2020,12,98520,0.0
Avista,2023,9,99157,0.0
CNG,2023,10,98908,0.0
CNG,2021,5,98944,0.0
PSE,2023,6,98502,0.0
CNG,2020,10,98226,0.0
CNG,2023,6,98284,0.0
PSE,2023,11,98101,0.0
NWN,2023,6,98682,0.0
PSE,2025,9,98244,0.0
PAC,2020,5,98908,0.0
PSE,2022,5,98531,0.0
PSE,2023,10,98178,0.0
NWN,2022,8,97388,0.0
PSE,2025,9,98226,0.0
NWN,2025,4,98307,0.0
Avista,2023,5,99157,0.0
NWN,2024,6,98674,0.0
CNG,2025,8,98848,0.0
Avista,2024,10,99023,0.0
PSE,2022,8,98074,0.0
PSE,2025,8,98409,0.0
CNG,2021,9,98314,0.0
PSE,2023,12,98072,0.0
Avista,2024,5,99031,0.0
CNG,2021,5,98337,0.0
PSE,2023,10,98589,0.0
Avista,2021,4,99034,0.0
PSE,2024,8,98092,0.0
Avista,2021,7,99025,0.0
CNG,2022,11,98314,0.0
NWN,2020,12,98626,0.0
CNG,2022,10,98220,0.0
Avista,2022,6,99218,0.0
PSE,2025,6,98579,0.0
CNG,2024,5,98944,0.0
Avista,2020,10,99149,0.0
CNG,2025,10,98632,0.0
NWN,2025,9,98620,0.0
Avista,2022,12,99161,0.0
PSE,2024,4,98070,0.0
Avista,2025,1,98857,0.0
Avista,2023,5,99159,0.0
CNG,2023,2,98273,0.0
PSE,2021,4,98102,0.0
Avista,2022,5,99149,0.0
PSE,2022,8,98467,0.0
Avista,2021,10,99034,0.0
CNG,2021,5,98282,0.0
PSE,2020,11,98501,0.0
NWN,2021,7,98629,0.0
Avista,2021,12,99018,0.0
CNG,2021,11,98367,0.0
NWN,2021,7,98662,0.0
PSE,2021,1,98934,0.0
PSE,2023,7,98051,0.0
Avista,2020,9,99206,0.0
Avista,2022,10,99122,0.0
PAC,2020,5,98930,0.0
Avista,2023,8,99117,0.0
PSE,2023,10,98392,0.0
Avista,2021,8,99107,0.0
PSE,2024,1,98383,0.0
PSE,2021,11,98024,0.0
PSE,2021,2,98422,0.0
NWN,2023,6,98635,0.0
CNG,2024,2,98908,0.0
CNG,2023,4,98520,0.0
NWN,2021,5,97301,0.0
CNG,2023,11,98284,0.0
PSE,2020,6,98101,0.0
Avista,2025,1,99016,0.0
PSE,2020,7,98021,0.0
CNG,2020,1,98244,0.0
NWN,2023,2,98671,0.0
PAC,2020,5,98932,0.0
PAC,2022,12,98952,0.0
CNG,2021,11,98837,0.0
Avista,2025,9,99029,0.0
CNG,2025,11,98277,0.0
PSE,2025,3,98178,0.0
PSE,2023,9,98108,0.0
PSE,2022,11,98418,0.0
PSE,2021,7,98102,0.0
PSE,2024,11,98290,0.0
Avista,2025,1,99031,0.0
Avista,2023,4,99109,0.0
Avista,2025,5,99103,0.0
PSE,2024,10,98445,0.0
