Utility,Year,Month,Zip Code,Bill Assist Customer Count
Avista,2025,3,99031,45
Avista,2025,9,99018,34
Avista,2025,7,99125,55
Avista,2025,5,99032,109
Avista,2025,5,99146,4
Avista,2025,1,98648,36
Avista,2025,7,99151,33
Avista,2025,9,99170,86
Avista,2025,9,99158,60
Avista,2025,6,99113,33
Avista,2025,3,99167,103
Avista,2025,1,99102,78
Avista,2025,9,99148,325
Avista,2025,1,99009,176
Avista,2025,4,99205,6156
Avista,2025,6,99148,334
Avista,2025,2,99025,252
Avista,2025,6,99205,6117
Avista,2025,3,99111,380
Avista,2025,6,99036,3
Avista,2025,9,99203,1497
Avista,2025,1,99169,250
Avista,2025,8,99169,262
Avista,2025,5,99026,200
Avista,2025,3,99029,111
Avista,2025,6,99138,301
Avista,2025,4,99176,10
Avista,2025,6,99131,22
Avista,2025,7,99027,690
Avista,2025,1,99207,5652
Avista,2025,5,99008,55
Avista,2025,9,99019,495
Avista,2025,6,99027,449
Avista,2025,8,99126,138
Avista,2025,4,99218,1490
Avista,2025,2,99174,13
Avista,2025,3,99185,135
Avista,2025,4,99159,122
Avista,2025,7,99012,96
Avista,2025,5,99023,6
Avista,2025,2,99005,325
Avista,2025,3,98620,118
Avista,2025,2,99149,1
Avista,2025,7,99138,292
Avista,2025,6,99020,8
Avista,2025,6,99169,263
Avista,2025,3,99033,142
Avista,2025,8,99218,1467
Avista,2025,9,99006,608
Avista,2025,1,99159,118
Avista,2025,2,99341,98
Avista,2025,6,99003,255
Avista,2025,6,99224,1844
Avista,2025,8,99032,106
Avista,2025,3,99179,44
Avista,2025,9,99173,290
Avista,2025,4,99104,1
Avista,2025,8,99344,1397
Avista,2025,4,99021,635
Avista,2025,1,99134,77
Avista,2025,4,99110,63
Avista,2025,7,99402,122
Avista,2025,9,99181,297
Avista,2025,2,99126,140
Avista,2025,7,99033,138
Avista,2025,4,99101,207
Avista,2025,2,99113,31
Avista,2025,6,98648,43
Avista,2025,3,99174,13
Avista,2025,7,99206,2829
Avista,2025,2,99039,19
Avista,2025,9,99033,138
Avista,2025,1,99205,5873
Avista,2025,3,99013,291
Avista,2025,3,99134,81
Avista,2025,8,99001,565
Avista,2025,7,99371,36
Avista,2025,6,99018,34
Avista,2025,1,99151,32
Avista,2025,6,99173,290
Avista,2025,9,99025,262
Avista,2025,1,99341,97
Avista,2025,9,99143,75
Avista,2025,5,99161,143
Avista,2025,3,99207,5808
Avista,2025,3,99004,288
Avista,2025,2,98620,114
Avista,2025,1,99036,1
Avista,2025,7,99005,349
Avista,2025,8,99141,777
Avista,2025,4,99036,3
Avista,2025,7,99006,861
Avista,2025,8,99205,5846
Avista,2025,4,99181,348
Avista,2025,9,99130,102
Avista,2025,9,99402,121
Avista,2025,7,99110,66
Avista,2025,7,99014,17
Avista,2025,1,99202,2808
Avista,2025,2,99128,13
Avista,2025,5,99138,306
Avista,2025,7,99126,141
Avista,2025,2,99202,2815
Avista,2025,2,99207,5714
Avista,2025,4,99029,108
Avista,2025,8,99131,14
Avista,2025,2,99138,303
Avista,2025,6,99031,44
Avista,2025,6,99157,119
Avista,2025,2,99173,226
Avista,2025,3,99371,38
Avista,2025,7,99023,6
Avista,2025,9,99005,337
Avista,2025,5,99171,105
Avista,2025,3,99122,245
Avista,2025,2,99134,77
Avista,2025,6,99208,4578
Avista,2025,9,99125,56
Avista,2025,8,99037,362
Avista,2025,1,99013,278
Avista,2025,3,99109,490
Avista,2025,4,99170,98
Avista,2025,5,99174,13
Avista,2025,5,99224,1828
Avista,2025,7,99205,6092
Avista,2025,8,99128,14
Avista,2025,7,99181,334
Avista,2025,4,98620,120
Avista,2025,6,99008,54
Avista,2025,4,99185,136
Avista,2025,9,99176,1
Avista,2025,4,99148,332
Avista,2025,7,99403,2358
Avista,2025,1,99146,5
Avista,2025,4,99032,108
Avista,2025,6,99014,17
Avista,2025,8,99130,103
Avista,2025,5,99185,137
Avista,2025,5,99141,812
Avista,2025,9,99164,1
Avista,2025,8,99403,1789
Avista,2025,3,99146,5
Avista,2025,4,99157,121
Avista,2025,5,99181,349
Avista,2025,7,99159,115
Avista,2025,7,99201,2336
Avista,2025,5,99103,47
Avista,2025,1,99130,98
Avista,2025,3,99141,813
Avista,2025,9,99341,98
Avista,2025,2,99185,134
Avista,2025,9,99217,2227
Avista,2025,5,99163,2647
Avista,2025,8,99148,321
Avista,2025,3,99201,2414
Avista,2025,1,99157,115
Avista,2025,7,99020,8
Avista,2025,1,99117,41
Avista,2025,2,99141,714
Avista,2025,4,99026,191
Avista,2025,7,99129,155
Avista,2025,6,99109,486
Avista,2025,8,99022,503
Avista,2025,7,99029,107
Avista,2025,4,99019,755
Avista,2025,7,99170,100
Avista,2025,1,99403,2234
Avista,2025,5,99030,80
Avista,2025,7,99101,192
Avista,2025,1,99113,29
Avista,2025,6,99019,497
Avista,2025,8,99167,88
Avista,2025,8,99114,1537
Avista,2025,3,99036,3
Avista,2025,5,99004,301
Avista,2025,5,99201,2460
Avista,2025,5,99013,290
Avista,2025,2,99164,1
Avista,2025,3,99170,93
Avista,2025,3,99217,2364
Avista,2025,5,99110,64
Avista,2025,1,99103,45
Avista,2025,2,99019,443
Avista,2025,6,99206,2870
Avista,2025,2,99004,268
Avista,2025,6,99101,207
Avista,2025,8,99101,195
Avista,2025,9,99202,2867
Avista,2025,6,99025,266
Avista,2025,8,99216,2100
Avista,2025,7,99203,1471
Avista,2025,3,99341,99
Avista,2025,8,99201,1988
Avista,2025,3,99016,1488
Avista,2025,9,99014,17
Avista,2025,5,99151,35
Avista,2025,6,99128,14
Avista,2025,3,99039,19
Avista,2025,6,99151,36
Avista,2025,3,99160,44
Avista,2025,7,99179,47
Avista,2025,9,99204,970
Avista,2025,5,99101,209
Avista,2025,2,99026,179
Avista,2025,4,99403,2351
Avista,2025,5,99131,24
Avista,2025,7,99117,41
Avista,2025,5,99179,46
Avista,2025,4,99025,269
Avista,2025,7,99160,38
Avista,2025,6,99001,581
Avista,2025,9,99030,83
Avista,2025,9,98620,120
Avista,2025,3,99159,123
Avista,2025,1,99137,70
Avista,2025,2,98648,37
Avista,2025,1,99125,52
Avista,2025,2,99037,321
Avista,2025,7,99003,252
Avista,2025,8,99217,2384
Avista,2025,9,99174,11
Avista,2025,5,99036,3
Avista,2025,6,99102,84
Avista,2025,8,99185,137
Avista,2025,8,99341,99
Avista,2025,7,99164,1
Avista,2025,8,99125,54
Avista,2025,5,99034,18
Avista,2025,3,99027,681
Avista,2025,3,99203,1470
Avista,2025,6,99146,4
Avista,2025,2,99009,178
Avista,2025,1,99014,16
Avista,2025,8,99031,43
Avista,2025,4,99137,76
Avista,2025,1,99003,240
Avista,2025,7,99131,22
Avista,2025,3,99021,621
Avista,2025,5,99014,17
Avista,2025,6,99185,136
Avista,2025,9,99185,137
Avista,2025,9,99016,1386
Avista,2025,5,98620,122
Avista,2025,5,99218,1497
Avista,2025,4,99402,121
Avista,2025,9,99013,280
Avista,2025,6,99402,122
Avista,2025,5,99167,106
Avista,2025,9,99109,473
Avista,2025,7,99143,73
Avista,2025,4,99167,106
Avista,2025,1,99110,67
Avista,2025,2,99114,1521
Avista,2025,4,99208,6196
Avista,2025,1,99008,54
Avista,2025,8,99008,34
Avista,2025,5,99109,491
Avista,2025,8,99160,38
Avista,2025,2,99167,34
Avista,2025,3,99030,82
Avista,2025,9,99137,68
Avista,2025,8,99122,234
Avista,2025,4,99003,255
Avista,2025,1,99126,139
Avista,2025,1,99025,251
Avista,2025,1,99027,665
Avista,2025,2,99158,61
Avista,2025,7,99208,6098
Avista,2025,1,99208,5812
Avista,2025,3,99205,6085
Avista,2025,7,99223,3025
Avista,2025,8,99173,289
Avista,2025,9,99103,47
Avista,2025,1,99174,13
Avista,2025,6,98620,124
Avista,2025,9,99036,2
Avista,2025,9,99179,47
Avista,2025,5,99148,334
Avista,2025,9,99326,18
Avista,2025,6,99201,2455
Avista,2025,2,99205,5833
Avista,2025,9,99207,5762
Avista,2025,1,99216,2155
Avista,2025,3,99020,7
Avista,2025,4,99023,6
Avista,2025,7,99158,61
Avista,2025,2,99216,2152
Avista,2025,1,99203,1408
Avista,2025,6,99013,289
Avista,2025,1,99185,130
Avista,2025,7,99122,238
Avista,2025,8,99208,6039
Avista,2025,2,99131,19
Avista,2025,9,99149,2
Avista,2025,5,99031,44
Avista,2025,9,99128,14
Avista,2025,9,99111,375
Avista,2025,3,99204,1175
Avista,2025,8,99103,47
Avista,2025,9,99160,38
Avista,2025,3,99117,40
Avista,2025,3,99026,188
Avista,2025,8,99027,697
Avista,2025,1,99131,19
Avista,2025,1,99326,17
Avista,2025,8,99164,1
Avista,2025,1,99217,2308
Avista,2025,2,99032,103
Avista,2025,6,99160,42
Avista,2025,2,99161,131
Avista,2025,6,99158,61
Avista,2025,7,99137,69
Avista,2025,3,99008,55
Avista,2025,2,99101,175
Avista,2025,8,99402,123
Avista,2025,4,99151,35
Avista,2025,2,99018,34
Avista,2025,9,99023,5
Avista,2025,7,99224,1802
Avista,2025,6,99202,2918
Avista,2025,5,99173,296
Avista,2025,5,99371,37
Avista,2025,9,99344,1416
Avista,2025,8,99143,74
Avista,2025,2,99181,291
Avista,2025,4,99122,247
Avista,2025,9,99026,201
Avista,2025,7,99037,360
Avista,2025,4,99006,866
Avista,2025,2,99012,91
Avista,2025,7,99169,262
Avista,2025,6,99204,993
Avista,2025,6,99005,337
Avista,2025,8,99012,96
Avista,2025,1,99163,2480
Avista,2025,1,99141,778
Avista,2025,3,99018,35
Avista,2025,3,99223,3001
Avista,2025,6,99223,3076
Avista,2025,7,99163,2392
Avista,2025,5,99217,2405
Avista,2025,3,99025,269
Avista,2025,4,99161,142
Avista,2025,1,99020,7
Avista,2025,5,99129,162
Avista,2025,9,99020,8
Avista,2025,9,99110,65
Avista,2025,1,99030,74
Avista,2025,7,99171,99
Avista,2025,5,99134,84
Avista,2025,6,99171,102
Avista,2025,8,99005,336
Avista,2025,7,99217,2371
Avista,2025,3,99171,101
Avista,2025,6,99034,20
Avista,2025,9,99021,635
Avista,2025,3,99034,18
Avista,2025,6,99149,1
Avista,2025,6,99174,12
Avista,2025,3,99173,291
Avista,2025,2,99001,576
Avista,2025,6,99137,77
Avista,2025,1,99104,1
Avista,2025,4,98648,40
Avista,2025,3,99218,1450
Avista,2025,4,99125,52
Avista,2025,7,99001,575
Avista,2025,6,99163,2166
Avista,2025,2,99003,245
Avista,2025,4,99371,36
Avista,2025,7,99022,582
Avista,2025,3,99224,1780
Avista,2025,1,99171,95
Avista,2025,8,99149,32
Avista,2025,4,99174,13
Avista,2025,8,99004,293
Avista,2025,2,99143,69
Avista,2025,8,99163,2407
Avista,2025,9,99171,97
Avista,2025,3,99344,1540
Avista,2025,2,99151,31
Avista,2025,4,99013,292
Avista,2025,9,99169,259
Avista,2025,9,99102,85
Avista,2025,3,99014,18
Avista,2025,9,99117,42
Avista,2025,4,99217,2379
Avista,2025,9,99001,586
Avista,2025,1,99176,9
Avista,2025,2,99201,2134
Avista,2025,7,99102,84
Avista,2025,1,99016,1412
Avista,2025,2,99169,254
Avista,2025,1,99170,95
Avista,2025,8,99181,285
Avista,2025,3,99129,163
Avista,2025,2,99206,2728
Avista,2025,5,99208,6168
Avista,2025,1,99109,462
Avista,2025,5,99016,1521
Avista,2025,9,99161,137
Avista,2025,5,99207,5842
Avista,2025,5,99113,33
Avista,2025,9,99201,2324
Avista,2025,6,99122,249
Avista,2025,7,99103,47
Avista,2025,3,99169,262
Avista,2025,7,99036,2
Avista,2025,5,99149,36
Avista,2025,7,99176,9
Avista,2025,4,99212,2862
Avista,2025,9,99205,6067
Avista,2025,5,99203,1485
Avista,2025,7,99326,18
Avista,2025,5,99170,99
Avista,2025,5,99130,106
Avista,2025,2,99157,102
Avista,2025,1,99402,116
Avista,2025,5,99403,2370
Avista,2025,4,99203,1487
Avista,2025,6,99218,1496
Avista,2025,2,99163,1531
Avista,2025,8,99030,82
Avista,2025,9,99146,6
Avista,2025,2,99326,18
Avista,2025,5,99027,699
Avista,2025,5,99114,1611
Avista,2025,6,99181,318
Avista,2025,9,99129,158
Avista,2025,2,99013,282
Avista,2025,7,99202,2875
Avista,2025,1,99344,1525
Avista,2025,5,99021,639
Avista,2025,5,99212,2875
Avista,2025,5,99006,866
Avista,2025,4,99014,17
Avista,2025,2,99122,241
Avista,2025,1,99019,701
Avista,2025,7,99128,14
Avista,2025,4,99009,183
Avista,2025,3,99037,364
Avista,2025,1,99040,186
Avista,2025,1,99023,6
Avista,2025,6,99021,632
Avista,2025,2,99217,2163
Avista,2025,7,99019,743
Avista,2025,2,99160,44
Avista,2025,9,99040,187
Avista,2025,9,99131,20
Avista,2025,5,99009,182
Avista,2025,3,99181,339
Avista,2025,8,99117,43
Avista,2025,1,99033,138
Avista,2025,4,99022,583
Avista,2025,3,99131,21
Avista,2025,8,99326,18
Avista,2025,6,99134,85
Avista,2025,2,99159,119
Avista,2025,3,99161,140
Avista,2025,8,99207,5419
Avista,2025,5,99001,586
Avista,2025,3,99009,184
Avista,2025,3,99040,186
Avista,2025,5,99206,2867
Avista,2025,2,99171,97
Avista,2025,2,99148,309
Avista,2025,7,99204,1132
Avista,2025,2,99104,1
Avista,2025,3,99104,1
Avista,2025,1,99012,90
Avista,2025,5,99040,186
Avista,2025,6,99217,2250
Avista,2025,2,99344,1427
Avista,2025,6,99161,144
Avista,2025,8,99029,23
Avista,2025,9,99008,50
Avista,2025,8,99009,177
Avista,2025,9,99224,1819
Avista,2025,7,99161,142
Avista,2025,5,99326,19
Avista,2025,6,99110,67
Avista,2025,3,99012,96
Avista,2025,4,99202,2900
Avista,2025,3,99137,73
Avista,2025,7,99013,279
Avista,2025,6,99039,21
Avista,2025,1,99101,189
Avista,2025,7,99216,2205
Avista,2025,4,99341,102
Avista,2025,8,99158,61
Avista,2025,3,99158,62
Avista,2025,5,99159,122
Avista,2025,3,99103,47
Avista,2025,8,99161,139
Avista,2025,4,99005,357
Avista,2025,2,99212,2256
Avista,2025,3,99326,19
Avista,2025,3,99023,6
Avista,2025,5,99125,53
Avista,2025,8,99203,1478
Avista,2025,1,99161,128
Avista,2025,3,99032,106
Avista,2025,5,99037,362
Avista,2025,1,99111,363
Avista,2025,6,99216,2264
Avista,2025,4,99141,818
Avista,2025,1,99149,36
Avista,2025,7,99218,1486
Avista,2025,4,99113,33
Avista,2025,1,99173,282
Avista,2025,3,99148,323
Avista,2025,3,99138,300
Avista,2025,5,99160,43
Avista,2025,8,99013,279
Avista,2025,8,99212,2850
Avista,2025,4,99163,2643
Avista,2025,5,99216,2266
Avista,2025,2,99179,43
Avista,2025,4,99206,2844
Avista,2025,4,99040,185
Avista,2025,8,99202,2482
Avista,2025,3,99022,581
Avista,2025,7,99111,374
Avista,2025,4,99130,103
Avista,2025,1,99032,104
Avista,2025,2,99016,1091
Avista,2025,4,99117,39
Avista,2025,9,99114,1551
Avista,2025,8,99371,37
Avista,2025,6,99326,19
Avista,2025,9,99101,191
Avista,2025,5,99039,20
Avista,2025,4,99034,18
Avista,2025,7,98648,43
Avista,2025,6,99006,608
Avista,2025,3,99157,119
Avista,2025,4,99207,5823
Avista,2025,2,99204,964
Avista,2025,5,99137,76
Avista,2025,3,99128,15
Avista,2025,4,99001,588
Avista,2025,4,99173,296
Avista,2025,5,99019,759
Avista,2025,7,98620,123
Avista,2025,6,99179,48
Avista,2025,5,99020,9
Avista,2025,1,99143,69
Avista,2025,8,99179,47
Avista,2025,4,99039,20
Avista,2025,1,99206,2677
Avista,2025,5,99128,15
Avista,2025,3,99130,102
Avista,2025,8,99129,154
Avista,2025,8,99171,99
Avista,2025,4,99030,79
Avista,2025,5,99344,1538
Avista,2025,8,98620,120
Avista,2025,5,99117,40
Avista,2025,4,99164,1
Avista,2025,5,99022,596
Avista,2025,6,99125,54
Avista,2025,7,99018,34
Avista,2025,8,99006,852
Avista,2025,1,99129,157
Avista,2025,4,99149,37
Avista,2025,9,99022,584
Avista,2025,4,99111,378
Avista,2025,8,99040,186
Avista,2025,9,99009,176
Avista,2025,6,99212,2878
Avista,2025,4,99016,1518
Avista,2025,2,99129,155
Avista,2025,9,99032,107
Avista,2025,8,99110,66
Avista,2025,6,99143,73
Avista,2025,3,99003,255
Avista,2025,6,99103,48
Avista,2025,5,99033,143
Avista,2025,6,99026,201
Avista,2025,6,99129,164
Avista,2025,2,99110,64
Avista,2025,9,99113,32
Avista,2025,9,99206,2861
Avista,2025,8,99204,1119
Avista,2025,6,99016,1397
Avista,2025,4,99128,15
Avista,2025,9,99034,20
Avista,2025,8,99206,2856
Avista,2025,7,99025,264
Avista,2025,2,99006,499
Avista,2025,4,99344,1550
Avista,2025,6,99023,6
Avista,2025,9,98648,43
Avista,2025,1,99128,13
Avista,2025,4,99146,5
Avista,2025,7,99134,84
Avista,2025,2,99111,369
Avista,2025,2,99403,2267
Avista,2025,6,99371,37
Avista,2025,8,99111,327
Avista,2025,8,99176,9
Avista,2025,7,99009,174
Avista,2025,4,99138,307
Avista,2025,5,99029,108
Avista,2025,8,99003,254
Avista,2025,1,99004,262
Avista,2025,7,99130,103
Avista,2025,6,99167,70
Avista,2025,2,99040,186
Avista,2025,1,99371,38
Avista,2025,6,99126,146
Avista,2025,5,98648,39
Avista,2025,3,99164,1
Avista,2025,8,99138,267
Avista,2025,2,99034,18
Avista,2025,5,99111,380
Avista,2025,5,99402,123
Avista,2025,2,99103,46
Avista,2025,4,99131,23
Avista,2025,5,99202,2907
Avista,2025,9,99371,37
Avista,2025,6,99032,108
Avista,2025,3,99402,117
Avista,2025,9,99027,454
Avista,2025,7,99173,284
Avista,2025,3,99206,2812
Avista,2025,4,99216,2249
Avista,2025,1,99026,174
Avista,2025,5,99003,256
Avista,2025,1,99022,546
Avista,2025,1,99039,19
Avista,2025,1,99204,1132
Avista,2025,3,99113,33
Avista,2025,2,99033,142
Avista,2025,6,99004,300
Avista,2025,6,99203,1489
Avista,2025,2,99020,7
Avista,2025,8,99134,85
Avista,2025,9,99003,256
Avista,2025,4,99169,261
Avista,2025,5,99157,122
Avista,2025,4,99134,83
Avista,2025,7,99040,185
Avista,2025,3,99212,2832
Avista,2025,2,99402,116
Avista,2025,7,99031,44
Avista,2025,4,99201,2457
Avista,2025,5,99126,146
Avista,2025,2,99027,173
Avista,2025,8,99026,162
Avista,2025,5,99204,1172
Avista,2025,4,99129,162
