Utility,Year,Month,Zip Code,Bad Debt Amount
Avista,2025,3,99167,648.15
Avista,2025,3,99169,1312.18
Avista,2025,3,99173,2341.39
Avista,2025,3,99181,2123.63
Avista,2025,3,99185,108.66
Avista,2025,3,99201,19550.73
Avista,2025,3,99202,22456.04
Avista,2025,3,99203,6746.51
Avista,2025,3,99204,8613.27
Avista,2025,3,99205,39988.99
Avista,2025,3,99206,10034.4
Avista,2025,3,99207,56144.21
Avista,2025,3,99208,36239.85
Avista,2025,3,99212,23597.75
Avista,2025,3,99216,10730.98
Avista,2025,3,99217,25762.78
Avista,2025,3,99218,8262.95
Avista,2025,3,99223,17445.17
Avista,2025,3,99224,11774.62
Avista,2025,3,99341,1246.7
Avista,2025,3,99344,7893.97
Avista,2025,3,99402,2797.9
Avista,2025,3,99403,15678.86
Avista,2025,4,98620,1524.24
Avista,2025,4,98648,37.17
Avista,2025,4,99001,3321.21
Avista,2025,4,99003,2565.63
Avista,2025,4,99004,2451.61
Avista,2025,4,99005,4358.24
Avista,2025,4,99006,2026.52
Avista,2025,4,99009,532.65
Avista,2025,4,99013,4282.26
Avista,2025,4,99016,9645.81
Avista,2025,4,99018,543.87
Avista,2025,4,99019,4381.77
Avista,2025,4,99021,3656.81
Avista,2025,4,99022,7151.96
Avista,2025,4,99025,686.45
Avista,2025,4,99026,322.33
Avista,2025,4,99027,1763.52
Avista,2025,4,99029,1516.14
Avista,2025,4,99030,820.5
Avista,2025,4,99031,238.5
Avista,2025,4,99032,730.64
Avista,2025,4,99033,2365.62
Avista,2025,4,99037,688.71
Avista,2025,4,99039,263.18
Avista,2025,4,99101,1436.11
Avista,2025,4,99109,1872.25
Avista,2025,4,99110,2646.8
Avista,2025,4,99111,1406.48
Avista,2025,4,99114,4152.71
Avista,2025,4,99117,708.15
Avista,2025,4,99125,189.27
Avista,2025,4,99126,671.91
Avista,2025,4,99129,1834.8
Avista,2025,4,99130,954.21
Avista,2025,4,99137,995.48
Avista,2025,4,99138,1176.41
Avista,2025,4,99141,3213.16
Avista,2025,4,99148,1409.13
Avista,2025,4,99157,40.06
Avista,2025,4,99159,985.7
Avista,2025,4,99160,1236.12
Avista,2025,4,99161,1007.19
Avista,2025,4,99163,33622.2
Avista,2025,4,99169,2583.43
Avista,2025,4,99170,410.34
Avista,2025,4,99173,322.62
Avista,2025,4,99181,2652.19
Avista,2025,4,99185,3247.0
Avista,2025,4,99201,34274.8
Avista,2025,4,99202,29431.59
Avista,2025,4,99203,5674.32
Avista,2025,4,99204,12766.84
Avista,2025,4,99205,26702.35
Avista,2025,4,99206,17034.07
Avista,2025,4,99207,53594.75
Avista,2025,4,99208,39585.07
Avista,2025,4,99212,27258.75
Avista,2025,4,99216,18089.37
Avista,2025,4,99217,17672.63
Avista,2025,4,99218,13972.31
Avista,2025,4,99223,19017.72
Avista,2025,4,99224,19008.38
Avista,2025,4,99341,2446.84
Avista,2025,4,99344,13052.52
Avista,2025,4,99371,659.74
Avista,2025,4,99402,2737.37
Avista,2025,4,99403,29183.68
Avista,2025,5,98620,815.53
Avista,2025,5,98648,102.09
Avista,2025,5,99001,4116.69
Avista,2025,5,99003,1893.62
Avista,2025,5,99004,1485.98
Avista,2025,5,99005,1303.35
Avista,2025,5,99006,6073.14
Avista,2025,5,99009,2047.81
Avista,2025,5,99012,415.96
Avista,2025,5,99013,543.12
Avista,2025,5,99016,8456.47
Avista,2025,5,99019,4600.97
Avista,2025,5,99021,4529.65
Avista,2025,5,99022,5569.28
Avista,2025,5,99025,373.42
Avista,2025,5,99026,1425.67
Avista,2025,5,99027,3855.97
Avista,2025,5,99029,3615.83
Avista,2025,5,99030,1836.56
Avista,2025,5,99031,1171.22
Avista,2025,5,99032,1097.46
Avista,2025,5,99033,604.51
Avista,2025,5,99037,2525.71
Avista,2025,5,99040,2602.16
Avista,2025,5,99101,753.88
Avista,2025,5,99109,699.6
Avista,2025,5,99110,47.45
Avista,2025,5,99111,381.73
Avista,2025,5,99114,12721.53
Avista,2025,5,99117,0.0
Avista,2025,5,99122,1747.77
Avista,2025,5,99138,1281.82
Avista,2025,5,99141,7116.67
Avista,2025,5,99148,699.25
Avista,2025,5,99149,1222.89
Avista,2025,5,99157,2444.76
Avista,2025,5,99158,179.86
Avista,2025,5,99159,310.21
Avista,2025,5,99163,17858.71
Avista,2025,5,99169,5304.57
Avista,2025,5,99170,950.52
