Utility,Year,Month,Zip Code,Number of Disconnects
Avista,2025,6,99157,2
Avista,2025,8,99003,6
Avista,2025,1,99218,37
Avista,2025,8,99228,19
Avista,2025,2,99031,1
Avista,2025,5,99101,1
Avista,2025,3,99218,49
Avista,2025,7,99204,17
Avista,2025,2,99157,1
Avista,2025,3,99344,35
Avista,2025,6,99025,4
Avista,2025,8,99181,1
Avista,2025,3,99012,2
Avista,2025,2,99224,5
Avista,2025,6,99403,32
Avista,2025,3,99006,14
Avista,2025,5,99027,8
Avista,2025,3,99134,1
Avista,2025,8,99006,2
Avista,2025,7,99185,8
Avista,2025,4,99006,15
Avista,2025,1,99125,1
Avista,2025,5,99109,7
Avista,2025,9,99122,1
Avista,2025,6,99001,5
Avista,2025,7,99034,4
Avista,2025,4,99185,4
Avista,2025,5,99185,3
Avista,2025,1,99101,2
Avista,2025,4,99126,7
Avista,2025,1,99141,10
Avista,2025,4,99169,3
Avista,2025,8,99174,1
Avista,2025,9,99006,5
Avista,2025,9,99203,40
Avista,2025,6,99027,9
Avista,2025,7,99341,1
Avista,2025,4,99204,38
Avista,2025,5,99202,44
Avista,2025,8,99344,13
Avista,2025,2,99181,1
Avista,2025,7,99131,2
Avista,2025,9,99008,20
Avista,2025,6,99114,21
Avista,2025,8,99207,29
Avista,2025,7,99224,41
Avista,2025,1,99031,1
Avista,2025,8,99204,12
Avista,2025,4,98620,19
Avista,2025,9,99174,1
Avista,2025,1,99205,95
Avista,2025,4,99027,11
Avista,2025,5,99006,9
Avista,2025,4,99122,5
Avista,2025,9,99206,75
Avista,2025,5,99143,1
Avista,2025,7,99158,1
Avista,2025,5,99114,26
Avista,2025,7,99018,17
Avista,2025,7,99006,6
Avista,2025,2,99216,3
Avista,2025,7,99219,22
Avista,2025,9,99029,7
Avista,2025,8,99141,2
Avista,2025,1,99148,2
Avista,2025,5,99163,45
Avista,2025,6,99109,7
Avista,2025,3,99009,4
Avista,2025,8,99011,2
Avista,2025,7,99039,1
Avista,2025,1,99223,51
Avista,2025,9,99023,14
Avista,2025,7,99130,3
Avista,2025,4,99138,5
Avista,2025,5,99122,3
Avista,2025,5,99208,96
Avista,2025,8,99206,64
Avista,2025,8,99005,1
Avista,2025,7,99023,10
Avista,2025,6,99203,17
Avista,2025,5,99026,3
Avista,2025,5,99019,11
Avista,2025,7,99216,31
Avista,2025,7,98648,2
Avista,2025,6,99148,1
Avista,2025,1,99122,1
Avista,2025,3,99117,2
Avista,2025,9,99158,1
Avista,2025,6,99206,42
Avista,2025,3,99206,62
Avista,2025,4,99159,5
Avista,2025,9,99204,14
Avista,2025,8,99201,2
Avista,2025,1,99169,4
Avista,2025,9,99224,48
Avista,2025,7,99402,4
Avista,2025,9,99005,4
Avista,2025,1,99341,1
Avista,2025,1,99029,2
Avista,2025,9,99403,55
Avista,2025,3,99205,114
Avista,2025,2,99169,2
Avista,2025,3,99163,116
Avista,2025,3,99109,5
Avista,2025,4,99201,69
Avista,2025,7,99022,7
Avista,2025,2,99111,1
Avista,2025,9,99003,13
Avista,2025,6,99019,17
Avista,2025,7,99011,2
Avista,2025,2,99027,2
Avista,2025,7,99020,17
Avista,2025,8,99341,2
Avista,2025,4,99110,2
Avista,2025,5,99111,3
Avista,2025,9,99164,49
Avista,2025,3,99022,14
Avista,2025,8,99039,1
Avista,2025,4,99212,58
Avista,2025,6,99159,1
Avista,2025,7,99111,1
Avista,2025,3,99217,70
Avista,2025,1,99033,2
Avista,2025,5,99217,36
Avista,2025,5,99003,7
Avista,2025,8,99208,93
Avista,2025,8,98620,4
Avista,2025,7,99125,5
Avista,2025,1,99181,3
Avista,2025,3,99029,4
Avista,2025,5,99031,1
Avista,2025,2,99114,3
Avista,2025,4,99344,28
Avista,2025,4,99009,2
Avista,2025,9,99039,2
Avista,2025,1,99009,1
Avista,2025,7,99163,1
Avista,2025,5,99206,38
Avista,2025,3,99025,5
Avista,2025,6,99205,89
Avista,2025,3,99125,1
Avista,2025,9,99207,18
Avista,2025,5,99009,6
Avista,2025,4,99111,4
Avista,2025,3,99167,2
Avista,2025,3,99223,70
Avista,2025,9,99212,96
Avista,2025,5,99218,26
Avista,2025,3,99021,19
Avista,2025,3,99130,3
Avista,2025,7,99113,1
Avista,2025,1,99179,2
Avista,2025,4,99207,139
Avista,2025,4,99218,35
Avista,2025,2,99344,6
Avista,2025,3,99403,41
Avista,2025,7,99027,1
Avista,2025,8,99030,1
Avista,2025,4,99208,143
Avista,2025,9,99104,1
Avista,2025,4,99341,4
Avista,2025,5,99402,2
Avista,2025,4,99037,6
Avista,2025,7,99138,1
Avista,2025,2,99022,2
Avista,2025,7,99228,32
Avista,2025,7,99206,94
Avista,2025,8,99185,4
Avista,2025,6,99022,14
Avista,2025,2,99040,2
Avista,2025,1,99163,109
Avista,2025,1,99208,125
Avista,2025,9,99033,2
Avista,2025,7,99344,23
Avista,2025,7,99151,1
Avista,2025,7,99205,21
Avista,2025,8,99004,1
Avista,2025,4,99203,33
Avista,2025,4,99012,1
Avista,2025,6,99111,2
Avista,2025,7,99217,35
Avista,2025,1,99206,41
Avista,2025,6,99163,64
Avista,2025,6,99008,2
Avista,2025,3,99008,2
Avista,2025,9,99341,1
Avista,2025,8,99403,35
Avista,2025,2,99202,10
Avista,2025,3,99171,1
Avista,2025,4,99151,1
Avista,2025,1,99109,3
Avista,2025,3,99161,1
Avista,2025,6,99344,15
Avista,2025,3,99181,6
Avista,2025,3,99202,89
Avista,2025,3,99204,43
Avista,2025,8,99203,37
Avista,2025,4,99022,7
Avista,2025,8,99114,1
Avista,2025,6,99029,1
Avista,2025,7,99169,1
Avista,2025,7,99207,35
Avista,2025,3,99122,9
Avista,2025,3,99016,54
Avista,2025,5,99173,6
Avista,2025,1,99129,3
Avista,2025,4,99016,33
Avista,2025,4,99021,15
Avista,2025,2,99205,16
Avista,2025,9,99141,3
Avista,2025,2,99341,2
Avista,2025,9,99216,47
Avista,2025,2,99207,20
Avista,2025,9,99026,1
Avista,2025,5,99158,2
Avista,2025,3,99341,2
Avista,2025,8,99164,36
Avista,2025,2,99129,2
Avista,2025,9,99402,5
Avista,2025,4,99032,1
Avista,2025,1,99114,19
Avista,2025,6,99012,1
Avista,2025,6,98620,9
Avista,2025,8,99111,1
Avista,2025,6,99202,41
Avista,2025,7,99160,4
Avista,2025,6,99141,6
Avista,2025,3,99037,5
Avista,2025,5,99148,3
Avista,2025,7,99014,1
Avista,2025,7,99029,6
Avista,2025,3,99004,15
Avista,2025,8,99128,2
Avista,2025,4,99114,20
Avista,2025,6,99003,2
Avista,2025,7,99005,4
Avista,2025,1,99006,3
Avista,2025,6,99174,1
Avista,2025,6,99207,92
Avista,2025,9,99030,3
Avista,2025,8,99125,4
Avista,2025,8,99018,27
Avista,2025,9,99202,43
Avista,2025,1,99110,4
Avista,2025,2,99019,1
Avista,2025,8,99205,11
Avista,2025,2,99206,3
Avista,2025,1,99216,39
Avista,2025,2,99217,3
Avista,2025,7,99208,114
Avista,2025,5,99030,1
Avista,2025,5,99130,2
Avista,2025,7,99004,1
Avista,2025,5,99037,3
Avista,2025,3,99003,4
Avista,2025,7,99003,19
Avista,2025,4,99033,1
Avista,2025,1,99027,5
Avista,2025,5,99126,2
Avista,2025,6,99169,11
Avista,2025,3,99169,10
Avista,2025,1,99022,8
Avista,2025,6,99032,1
Avista,2025,5,99181,3
Avista,2025,5,99102,1
Avista,2025,8,99113,2
Avista,2025,8,99217,34
Avista,2025,8,99023,3
Avista,2025,9,98620,4
Avista,2025,9,99137,1
Avista,2025,4,99013,2
Avista,2025,6,99341,1
Avista,2025,3,99019,21
Avista,2025,1,99037,4
Avista,2025,9,99027,3
Avista,2025,4,99148,4
Avista,2025,5,99022,10
Avista,2025,8,99026,3
Avista,2025,9,99125,2
Avista,2025,8,99402,3
Avista,2025,3,99149,1
Avista,2025,5,99205,86
Avista,2025,4,99141,10
Avista,2025,2,99138,1
Avista,2025,5,99001,11
Avista,2025,2,99170,1
Avista,2025,2,98620,18
Avista,2025,1,99202,53
Avista,2025,8,99117,14
Avista,2025,6,99208,103
Avista,2025,3,99013,2
Avista,2025,5,99224,34
Avista,2025,3,99185,4
Avista,2025,5,99138,3
Avista,2025,4,99101,8
Avista,2025,8,99008,9
Avista,2025,1,99224,30
Avista,2025,2,99005,1
Avista,2025,6,99181,3
Avista,2025,6,99103,1
Avista,2025,3,98620,20
Avista,2025,3,99402,6
Avista,2025,7,99134,1
Avista,2025,8,99102,3
Avista,2025,9,99219,35
Avista,2025,6,99217,50
Avista,2025,1,99026,1
Avista,2025,9,99170,4
Avista,2025,1,99138,2
Avista,2025,9,99205,16
Avista,2025,7,99137,2
Avista,2025,9,99143,6
Avista,2025,1,99173,2
Avista,2025,1,99157,1
Avista,2025,6,99218,33
Avista,2025,8,99020,7
Avista,2025,3,99033,1
Avista,2025,9,99004,2
Avista,2025,2,99204,2
Avista,2025,4,99224,43
Avista,2025,5,99403,38
Avista,2025,9,99169,1
Avista,2025,7,99030,2
Avista,2025,5,99204,23
Avista,2025,6,99134,2
Avista,2025,9,99163,1
Avista,2025,7,99170,5
Avista,2025,1,99171,2
Avista,2025,3,99031,4
Avista,2025,8,99027,1
Avista,2025,4,99158,1
