Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
PSE,2025,8,98405,30 Days,21088.03
PSE,2024,8,98109,90 Days +,73306.06
PSE,2023,4,98058,60 Days,258775.0
PSE,2021,7,98177,60 Days,11556.0
CNG,2024,6,98248,Total Arrearages,67662.1
CNG,2023,1,98278,Total Arrearages,1058.15
PSE,2023,10,98418,30 Days,10244.84
PSE,2024,7,98258,Total Arrearages,448046.56
Avista,2023,9,99117,30 Days,1168.15
NWN,2023,5,98026,30 Days,0.0
PSE,2021,5,98467,60 Days,7109.37
PSE,2024,1,98396,Total Arrearages,40681.12
PSE,2020,9,98403,60 Days,2247.1
PSE,2024,2,98221,60 Days,61466.19
Avista,2021,1,99003,Total Arrearages,34126.0
CNG,2023,6,98930,90 Days +,18117.83
PSE,2022,4,98039,Total Arrearages,55456.61
PAC,2025,5,98903,90 Days +,282530.37
PSE,2024,6,98121,Total Arrearages,43430.3
PSE,2021,6,98036,30 Days,26511.8
PSE,2023,1,98925,30 Days,4722.95
CNG,2022,11,99338,90 Days +,10234.49
PAC,2020,6,98953,60 Days,34218.8
Avista,2024,12,99025,60 Days,5017.34
PSE,2022,1,98374,60 Days,77948.15
NWN,2025,5,98639,60 Days,1584.08
PSE,2023,7,98467,90 Days +,69601.54
CNG,2023,12,98225,30 Days,49474.04
Avista,2025,10,99344,60 Days,17132.44
CNG,2024,6,98230,30 Days,20948.33
NWN,2021,12,98663,Total Arrearages,28593.47
PSE,2021,3,98328,90 Days +,7418.39
NWN,2023,12,98762,30 Days,0.0
PSE,2025,8,98337,Total Arrearages,368306.379999999
PAC,2023,10,98938,Total Arrearages,109833.73
PSE,2023,2,98024,60 Days,17752.12
Avista,2021,11,99216,30 Days,33876.53
PSE,2024,12,98244,30 Days,17543.96
PSE,2023,9,98224,30 Days,3349.51
PSE,2023,6,98418,Total Arrearages,190398.04
PSE,2021,9,98110,60 Days,18296.0
Avista,2025,9,99218,60 Days,35715.15
PSE,2025,5,98253,90 Days +,21614.19
PSE,2020,6,98277,90 Days +,299716.14
PSE,2023,7,98403,Total Arrearages,61956.71
PSE,2023,4,98104,30 Days,2996.52
PAC,2023,12,99329,Total Arrearages,1239.36
Avista,2023,11,99204,90 Days +,76044.13
PSE,2022,12,98198,60 Days,108374.679999999
Avista,2024,7,99104,90 Days +,0.0
PSE,2024,8,98403,Total Arrearages,45750.93
CNG,2022,1,98801,60 Days,899.68
Avista,2022,1,99223,30 Days,96426.97
PSE,2024,2,98117,90 Days +,91003.06
PAC,2023,7,98948,60 Days,85749.94
Avista,2025,3,99040,90 Days +,35156.56
Avista,2023,6,98857,90 Days +,0.0
NWN,2020,6,98682,60 Days,47548.46
